plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	13608000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3094109121027021	0.5156848535045035	0.9537254608112625	NaN
Initial_000000002	13608000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2862113209329418	0.47701886822156975	0.7447377654265855	NaN
Initial_000000003	13608000.0	36.26937281241047	0.362379220499216	1.4441571919402396	1.4441571919402396	1.4451571919402397	1.4901571919402397	0.2942493679987012	0.4904156133311687	0.5647675262510745	NaN
Initial_000000005	13608000.0	29.190773659449714	1.5872888856366518	1.1857763939859391	1.1857763939859391	1.1867763939859393	1.2317763939859392	0.01635197902715641	0.027253298378594023	0.6497107160866035	NaN
Initial_000000006	13608000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.3279432509773891	0.5465720849623151	0.6531997796311714	NaN
Initial_000000007	13608000.0	45.683095008214394	8.52435666577039	1.4271790086894964	1.4271790086894964	1.4281790086894965	1.4731790086894965	0.2710817159408564	0.48345463158348045	0.4518028599014273	NaN
Initial_000000009	13608000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.3511792594698937	0.5852987657831562	0.7361881009891073	NaN
Initial_000000011	13608000.0	38.41196069660732	6.215688235838598	1.4594524734299232	1.4594524734299232	1.4604524734299233	1.5054524734299233	0.3234338829844273	0.6801249313512685	0.5390564716407122	NaN
Initial_000000012	13608000.0	29.996749799732402	2.814513603994583	1.3819234170277876	1.3819234170277876	1.3829234170277878	1.4279234170277877	0.0019340149783997464	0.003223358297332911	0.6400390024032112	NaN
Initial_000000013	13608000.0	21.069753614824887	4.468916533642534	1.4992298453231656	1.4992298453231656	1.5002298453231655	1.5452298453231654	0.24553527779167836	0.4092254629861306	0.7471629566221014	NaN
Initial_000000014	13608000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.4268918939355483	0.8110632313434182	0.7114864898925806	NaN
Initial_000000015	13608000.0	11.05779583247406	3.0416985261189344	1.4967382298307381	1.4967382298307381	1.497738229830738	1.5427382298307382	0.4671902138587275	0.7786503564312125	0.8673064500103113	NaN
Initial_000000016	13608000.0	12.064970154771382	3.5771914789507733	1.3805750375822197	1.3805750375822197	1.3815750375822196	1.42657503758222	0.037248156000457035	0.06208026000076172	0.8552203581427434	NaN
Initial_000000017	13608000.0	8.87496749230776	8.699862056580422	1.4782300092250065	1.4782300092250065	1.4792300092250066	1.5242300092250065	0.41856563084539594	0.6976093847423266	0.8935003900923069	NaN
Initial_000000021	13608000.0	20.836696239886642	9.838043365938933	1.4664213079866524	1.4664213079866524	1.4674213079866525	1.5124213079866524	0.2601667910568842	0.4336113184281403	0.7499596451213604	NaN
Initial_000000023	13608000.0	35.947077287644376	6.3866903059768285	1.4540194349980824	1.4540194349980824	1.4550194349980825	1.5000194349980824	0.3411810435289605	0.672961751431357	0.5686350725482675	NaN
Initial_000000024	13608000.0	16.128213368326143	4.222551766925138	1.479512252835308	1.479512252835308	1.4805122528353079	1.5255122528353078	0.406649409951211	0.6777490165853517	0.8064614395800863	NaN
Initial_000000025	13608000.0	27.933948564736482	7.025142950950495	1.478390386722222	1.478390386722222	1.4793903867222218	1.5243903867222217	0.2858755293081037	0.47645921551350623	0.6647926172231622	NaN
Initial_000000026	13608000.0	29.111727091471902	9.166569495623376	1.4679833685302583	1.4679833685302583	1.4689833685302582	1.5139833685302582	0.3903955649414023	0.8653537083388223	0.6506592749023372	NaN
Initial_000000027	13608000.0	4.845744408975255	3.437390428436229	1.4971376551916797	1.4971376551916797	1.4981376551916796	1.5431376551916798	0.48773871951544245	0.8128978658590708	0.9418510670922969	NaN
Initial_000000028	13608000.0	7.194570292108332	9.009716791122123	1.4971368875658668	1.4971368875658668	1.498136887565867	1.5431368875658669	0.37422269848378226	0.6237044974729704	0.9136651564947	NaN
Initial_000000030	13608000.0	0.8262195048071241	5.591443456310224	1.2375295380388989	1.2375295380388989	1.238529538038899	1.283529538038899	0.04381765134074674	0.07302941890124458	0.9900853659423146	NaN
Initial_000000032	13608000.0	18.867589866850388	3.7082529133551265	1.4960124243612474	1.4960124243612474	1.4970124243612475	1.5420124243612474	0.4641533529586772	0.880946201080174	0.7735889215977954	NaN
Initial_000000034	13608000.0	0.9479300092549103	6.712841406459985	1.463969108141476	1.463969108141476	1.464969108141476	1.5099691081414763	0.3506478403215816	0.584413067202636	0.9886248398889411	NaN
Initial_000000035	13608000.0	32.81832801710468	6.2642945970151604	1.4588321531073858	1.4588321531073858	1.4598321531073857	1.5048321531073858	0.3564472163953919	0.5940786939923198	0.6061800637947439	NaN
Initial_000000037	13608000.0	35.28784173931048	8.043088931372514	1.4741920427771	1.4741920427771	1.4751920427771	1.5201920427771	0.33250253597049856	0.5541708932841642	0.5765458991282744	NaN
Initial_000000038	13608000.0	19.803983759270512	0.14764454170164143	1.49058678003307	1.49058678003307	1.49158678003307	1.53658678003307	0.4434646510917697	0.7391077518196162	0.7623521948887538	NaN
Initial_000000039	13608000.0	25.247191358345095	4.686820152397411	1.4655377334682895	1.4655377334682895	1.4665377334682894	1.5115377334682893	0.34153097177916836	0.5692182862986139	0.6970337036998588	NaN
Initial_000000040	13608000.0	28.16346444520288	0.5763130269645145	1.4935864599795219	1.4935864599795219	1.4945864599795218	1.539586459979522	0.3972230559945392	0.7422000511392967	0.6620384266575654	NaN
Initial_000000041	13608000.0	47.470909878969394	7.453551281820704	1.3083631663714184	1.3083631663714184	1.3093631663714185	1.3543631663714184	0.13458311907735251	0.22430519846225422	0.4303490814523673	NaN
Initial_000000042	13608000.0	41.05161616444799	5.900615267457318	1.4500347271758784	1.4500347271758784	1.4510347271758783	1.4960347271758785	0.3044283636159745	0.5516262593385965	0.5073806060266242	NaN
Initial_000000045	13608000.0	45.6368893002823	9.079131163843336	1.1843277649466513	1.1843277649466513	1.1853277649466512	1.230327764946651	0.005887480477971888	0.00981246746328648	0.45235732839661247	NaN
Initial_000000046	13608000.0	44.35992507055268	6.287563201074157	1.477194832333109	1.477194832333109	1.478194832333109	1.523194832333109	0.28060853949202075	0.5933979365034706	0.46768089915336797	NaN
Initial_000000047	13608000.0	31.437538695843937	0.6882325636977993	1.4985988855596941	1.4985988855596941	1.499598885559694	1.5445988855596942	0.3736497213899236	0.7925823179576443	0.6227495356498727	NaN
Initial_000000048	13608000.0	27.006044364217587	6.343447384435509	1.4578948544806685	1.4578948544806685	1.4588948544806684	1.5038948544806685	0.19323164704825233	0.32205274508042053	0.6759274676293889	NaN
Initial_000000050	13608000.0	44.850033177348436	2.143679845604943	1.3938445526892194	1.3938445526892194	1.3948445526892195	1.4398445526892194	0.1410274982538738	0.23504583042312302	0.4617996018718188	NaN
Initial_000000051	13608000.0	6.594521191748109	1.8992199253140474	1.4908937291625632	1.4908937291625632	1.4918937291625634	1.5368937291625633	0.33409637691536587	0.5568272948589431	0.9208657456990227	NaN
Initial_000000052	13608000.0	48.11517585958059	5.653091702132106	1.335246352507854	1.335246352507854	1.3362463525078538	1.381246352507854	0.2535707338110198	0.4865893974575938	0.422617889685033	NaN
Initial_000000053	13608000.0	33.620733274587955	5.4793942118474215	1.2253225308142828	1.2253225308142828	1.226322530814283	1.271322530814283	0.016917780802177568	0.028196301336962614	0.5965512007049446	NaN
Initial_000000055	13608000.0	33.11578343932701	4.8915268168572945	1.450265436947382	1.450265436947382	1.4512654369473819	1.4962654369473818	0.30325851325839975	0.5054308554306662	0.6026105987280759	NaN
Initial_000000059	13608000.0	14.02722894692805	9.384913111737712	1.494329030182531	1.494329030182531	1.495329030182531	1.540329030182531	0.47351818611242324	0.7891969768540388	0.8316732526368634	NaN
Initial_000000060	13608000.0	13.352291803438881	4.319686747296228	1.4951487909159669	1.4951487909159669	1.496148790915967	1.541148790915967	0.50386349901524	0.8790277797553787	0.8397724983587334	NaN
Initial_000000062	13608000.0	18.47426847704015	8.670410770732728	1.4987528906323173	1.4987528906323173	1.4997528906323172	1.5447528906323171	0.436545478922899	0.7275757982048318	0.7783087782755183	NaN
Initial_000000063	13608000.0	5.1322368445315565	0.9556450337300915	1.4982117630454668	1.4982117630454668	1.4992117630454667	1.5442117630454666	0.4510822615869934	0.7518037693116557	0.9384131578656213	NaN
Initial_000000065	13608000.0	12.164211970080308	6.638678344287897	1.4987907331718104	1.4987907331718104	1.4997907331718108	1.5447907331718107	0.48289147407648814	0.8048191234608136	0.8540294563590363	NaN
Initial_000000066	13608000.0	15.238122993782627	2.014789456537164	1.4748565433342953	1.4748565433342953	1.4758565433342954	1.5208565433342953	0.38940382814329194	0.64900638023882	0.8171425240746085	NaN
Initial_000000068	13608000.0	25.029427906930195	6.562399270661137	1.4640054719230693	1.4640054719230693	1.4650054719230694	1.5100054719230693	0.24868583734011546	0.4144763955668591	0.6996468651168377	NaN
Initial_000000069	13608000.0	35.15402902760011	0.7071882445372724	1.4571576589110515	1.4571576589110515	1.4581576589110514	1.5031576589110514	0.24588400286133805	0.40980667143556343	0.5781516516687988	NaN
Initial_000000070	13608000.0	31.053764177392885	5.814831644566267	1.4951437174514584	1.4951437174514584	1.4961437174514585	1.5411437174514584	0.3764128979227713	0.7609779018111402	0.6273548298712854	NaN
Initial_000000071	13608000.0	5.562355096144033	8.432982189907591	1.4982435726459526	1.4982435726459526	1.4992435726459525	1.5442435726459527	0.35776278613032336	0.5962713102172056	0.9332517388462716	NaN
Initial_000000072	13608000.0	28.706380922402396	6.531103127068212	1.0495150288686421	1.0495150288686421	1.0505150288686422	1.0955150288686422	0.004187208165924638	0.0069786802765410645	0.6555234289311712	NaN
Initial_000000073	13608000.0	34.628678579925904	2.032250839456773	1.4943624354542677	1.4943624354542677	1.4953624354542676	1.5403624354542675	0.33916018374321566	0.5652669729053594	0.5844558570408891	NaN
Initial_000000077	13608000.0	7.271850283736919	3.5822976927394024	1.4441769357615188	1.4441769357615188	1.445176935761519	1.4901769357615189	0.2976212099242176	0.49603534987369596	0.912737796595157	NaN
Initial_000000081	13608000.0	48.313822269779976	3.3138149637925496	1.3277375182023174	1.3277375182023174	1.3287375182023173	1.3737375182023173	0.2521404796575842	0.6942900781588152	0.4202341327626403	NaN
Initial_000000082	13608000.0	26.629644161477895	7.621996315560123	1.4824361583712018	1.4824361583712018	1.4834361583712017	1.5284361583712016	0.3365601405058936	0.5609335675098227	0.6804442700622653	NaN
Initial_000000086	13608000.0	8.871541604374967	6.071966234962711	1.4950561822400175	1.4950561822400175	1.4960561822400174	1.5410561822400175	0.4132586141828721	0.6887643569714534	0.8935415007475004	NaN
Initial_000000087	13608000.0	38.20183693939534	9.426451503035947	1.4662604831635913	1.4662604831635913	1.4672604831635914	1.5122604831635913	0.3228765402560115	0.5381275670933525	0.541577956727256	NaN
Initial_000000088	13608000.0	45.09774651203826	3.2212590657317564	1.4493051818449534	1.4493051818449534	1.4503051818449533	1.4953051818449532	0.2752962251133245	0.6094046217189053	0.4588270418555409	NaN
Initial_000000090	13608000.0	36.03725931072192	2.1002548987485223	1.4676884865422037	1.4676884865422037	1.4686884865422036	1.5136884865422036	0.19812625605863576	0.33021042676439294	0.567552888271337	NaN
Initial_000000092	13608000.0	10.09415742362813	6.122028464568581	1.4679521671821993	1.4679521671821993	1.4689521671821995	1.5139521671821994	0.3190989161142604	0.5318315268571007	0.8788701109164624	NaN
Initial_000000094	13608000.0	39.32827013335481	4.23620049215823	1.4297640476793039	1.4297640476793039	1.4307640476793038	1.475764047679304	0.30779903300399414	0.5129983883399902	0.5280607583997423	NaN
Initial_000000099	13608000.0	28.82078740335896	5.787698078808919	1.475838740109308	1.475838740109308	1.476838740109308	1.5218387401093079	0.32336458158277376	0.538940969304623	0.6541505511596926	NaN
Initial_000000100	13608000.0	37.945918750863534	8.164430737084906	1.3936710913926058	1.3936710913926058	1.3946710913926057	1.4396710913926056	0.03767394924481837	0.06278991540803062	0.5446489749896376	NaN
Initial_000000102	13608000.0	46.3062861454786	5.881633726132095	1.4036223837009083	1.4036223837009083	1.4046223837009082	1.4496223837009083	0.26659473975255404	0.742390249548178	0.44432456625425676	NaN
Initial_000000103	13608000.0	5.184189267608219	6.148719517782175	1.4892391669719474	1.4892391669719474	1.4902391669719477	1.5352391669719476	0.3441002034350748	0.573500339058458	0.9377897287887014	NaN
Initial_000000104	13608000.0	48.09493088123919	6.580890597956225	1.3179425494937125	1.3179425494937125	1.3189425494937128	1.3639425494937127	0.21711663228391187	0.3618610538065198	0.4228608294251297	NaN
Initial_000000105	13608000.0	35.63123486924732	3.8229320810323273	1.4982391350195303	1.4982391350195303	1.4992391350195304	1.5442391350195304	0.34345510894141923	0.5786786914536096	0.5724251815690321	NaN
Initial_000000107	13608000.0	23.115465165108624	2.7485867776868975	1.285937948279468	1.285937948279468	1.286937948279468	1.331937948279468	0.013838784594542287	0.02306464099090381	0.7226144180186965	NaN
Initial_000000108	13608000.0	29.053486435921215	4.115131937147691	1.4695558662301271	1.4695558662301271	1.4705558662301272	1.5155558662301272	0.3695816061460233	0.6159693435767055	0.6513581627689454	NaN
Initial_000000109	13608000.0	3.1439555333688363	6.906742182863132	1.4991764836280632	1.4991764836280632	1.500176483628063	1.545176483628063	0.3089058217844219	0.5148430363073698	0.962272533599574	NaN
Initial_000000110	13608000.0	31.317844188427753	2.8002119353746258	1.4996487755615335	1.4996487755615335	1.5006487755615336	1.5456487755615336	0.3745115218433202	0.8404419076197924	0.624185869738867	NaN
Initial_000000111	13608000.0	29.69986352428097	9.467765478686855	1.2700262765358317	1.2700262765358317	1.2710262765358316	1.316026276535832	0.00853610828573664	0.0142268471428944	0.6436016377086283	NaN
Initial_000000112	13608000.0	4.073758149404477	1.5265958033723526	1.0760860548700182	1.0760860548700182	1.0770860548700183	1.1220860548700182	7.834890002267994e-05	0.0001305815000377999	0.9511149022071462	NaN
Initial_000000113	13608000.0	47.11752096992157	2.1422645298809098	1.372957707336965	1.372957707336965	1.373957707336965	1.418957707336965	0.2607538490165647	0.7482258447305843	0.4345897483609411	NaN
Initial_000000114	13608000.0	42.00025460250112	3.042905128081906	1.491990834309959	1.491990834309959	1.4929908343099592	1.537990834309959	0.29759816686199186	0.7771474328039151	0.49599694476998646	NaN
Initial_000000115	13608000.0	43.982834144521114	2.1297558868348676	1.486634180802706	1.486634180802706	1.487634180802706	1.532634180802706	0.28332359415944797	0.4779582827151966	0.4722059902657466	NaN
Initial_000000118	13608000.0	21.78583952864321	3.2327360244599523	1.444211355029749	1.444211355029749	1.4452113550297492	1.490211355029749	0.3509755743947013	0.5849592906578355	0.7385699256562814	NaN
Initial_000000119	13608000.0	49.73472770207394	7.341596409438682	1.2740272928616057	1.2740272928616057	1.2750272928616055	1.3200272928616057	0.24190996054506766	0.7108664351655798	0.4031832675751128	NaN
Initial_000000120	13608000.0	7.187656803811798	0.7591802079182086	1.4662156352920765	1.4662156352920765	1.4672156352920767	1.5122156352920766	0.3187791506423369	0.5312985844038949	0.9137481183542584	NaN
Initial_000000121	13608000.0	2.647397840682059	0.413623322154858	1.4563468388677232	1.4563468388677232	1.457346838867723	1.5023468388677235	0.30514031613995113	0.5085671935665852	0.9682312259118153	NaN
Initial_000000123	13608000.0	20.582499566444433	6.220518272296034	1.4623743489922985	1.4623743489922985	1.4633743489922983	1.5083743489922985	0.3311206283883595	0.5518677139805992	0.7530100052026668	NaN
Initial_000000124	13608000.0	0.7443937528642419	3.409613521978636	1.4862151302488285	1.4862151302488285	1.4872151302488286	1.5322151302488285	0.43854396047048716	0.7309066007841453	0.9910672749656291	NaN
Initial_000000125	13608000.0	10.067718270238718	0.8744422842637056	1.4582939404682187	1.4582939404682187	1.4592939404682188	1.5042939404682187	0.33029341549956576	0.5504890258326096	0.8791873807571354	NaN
Initial_000000126	13608000.0	21.907591678334832	9.464361307994796	1.4996632840766384	1.4996632840766384	1.5006632840766385	1.5456632840766384	0.44226533991598915	0.7637611308666648	0.737108899859982	NaN
Initial_000000127	13608000.0	23.63373725198752	4.236262380497565	1.4571913559583738	1.4571913559583738	1.458191355958374	1.503191355958374	0.3179727025386189	0.5299545042310315	0.7163951529761499	NaN
Initial_000000128	13608000.0	48.232758523650425	1.2479041630535004	1.330801727806014	1.330801727806014	1.331801727806014	1.376801727806014	0.25272413862971693	0.6663063849197299	0.4212068977161949	NaN
Initial_000000131	13608000.0	25.093319249870937	0.3940434883419641	1.4716483549032526	1.4716483549032526	1.4726483549032525	1.5176483549032525	0.4193281014009292	0.7561278619135311	0.6988801690015487	NaN
Initial_000000134	13608000.0	20.634717578473214	7.725425624055604	1.460664806898394	1.460664806898394	1.4616648068983942	1.506664806898394	0.13812819599910794	0.23021365999851326	0.7523833890583215	NaN
Initial_000000137	13608000.0	17.03251899357584	9.330893215531043	1.4360975897387618	1.4360975897387618	1.4370975897387617	1.4820975897387616	0.35353095758528374	0.5892182626421396	0.7956097720770899	NaN
Initial_000000138	13608000.0	6.422853378059906	4.870741529579529	1.4569733573205388	1.4569733573205388	1.4579733573205387	1.5029733573205388	0.29043765111615094	0.48406275186025155	0.9229257594632811	NaN
Initial_000000139	13608000.0	32.91994744487553	1.61381598030651	1.4559055135875842	1.4559055135875842	1.4569055135875841	1.5019055135875843	0.28039991590202584	0.4673331931700431	0.6049606306614936	NaN
Initial_000000140	13608000.0	2.1228248864257395	8.070663146898852	1.4901205696864512	1.4901205696864512	1.4911205696864513	1.5361205696864513	0.30950462687530017	0.515841044792167	0.9745261013628911	NaN
Initial_000000141	13608000.0	23.56867052442933	8.799049018329805	1.4775381081058827	1.4775381081058827	1.4785381081058826	1.5235381081058825	0.1505286966807599	0.25088116113459985	0.7171759537068481	NaN
Initial_000000142	13608000.0	3.2523430323510514	5.332083657823448	1.4847267828579223	1.4847267828579223	1.4857267828579224	1.5307267828579223	0.27895641373732705	0.46492735622887843	0.9609718836117874	NaN
Initial_000000143	13608000.0	9.298434970384706	1.9392793981822831	1.4698909875863826	1.4698909875863826	1.4708909875863827	1.5158909875863826	0.3795296006835743	0.6325493344726238	0.8884187803553836	NaN
Initial_000000144	13608000.0	10.975718728422274	9.666238743691867	1.493572047654123	1.493572047654123	1.494572047654123	1.539572047654123	0.4236594323873122	0.7060990539788536	0.8682913752589327	NaN
Initial_000000145	13608000.0	43.861144331741954	2.864428178003291	1.4244651472972052	1.4244651472972052	1.4254651472972053	1.4704651472972052	0.11774870886883415	0.1962478481147236	0.4736662680190966	NaN
Initial_000000146	13608000.0	43.491237999615926	5.031461903887529	1.4383154320138265	1.4383154320138265	1.4393154320138264	1.4843154320138263	0.2868630864027653	0.7314296924887866	0.4781051440046089	NaN
Initial_000000148	13608000.0	39.97052070631651	5.235814944652577	1.187213404352253	1.187213404352253	1.188213404352253	1.233213404352253	0.0007997876270142956	0.0013329793783571594	0.5203537515242018	NaN
Initial_000000150	13608000.0	16.393416399772455	0.985489657996349	1.4682020464210448	1.4682020464210448	1.4692020464210447	1.5142020464210448	0.4092525424640085	0.6820875707733475	0.8032790032027306	NaN
Initial_000000151	13608000.0	23.53125122654997	6.8544172932285985	1.4952078213249336	1.4952078213249336	1.4962078213249337	1.5412078213249336	0.43057499116884024	0.7941938606982174	0.7176249852814004	NaN
Initial_000000152	13608000.0	39.49759304140062	0.5511839604454938	1.4242779854586196	1.4242779854586196	1.4252779854586195	1.4702779854586197	0.3156173301019155	0.5301529246508176	0.5260288835031925	NaN
Initial_000000154	13608000.0	49.611399342916975	1.478320674759248	1.2786891048377387	1.2786891048377387	1.2796891048377388	1.3246891048377387	0.2427979247309978	0.5943030210090476	0.4046632078849963	NaN
Initial_000000156	13608000.0	1.961350878223328	5.233132872409701	1.4914871993759458	1.4914871993759458	1.4924871993759459	1.5374871993759458	0.3471587555402925	0.5785979259004875	0.9764637894613201	NaN
Initial_000000157	13608000.0	19.772382773737114	7.447466419284475	1.4827992097767773	1.4827992097767773	1.4837992097767772	1.5287992097767773	0.2766105449070589	0.46101757484509814	0.7627314067151547	NaN
Initial_000000159	13608000.0	44.8593219805002	9.04644623112241	1.458317629137093	1.458317629137093	1.459317629137093	1.504317629137093	0.27701288174039856	0.7639932342924197	0.4616881362339976	NaN
Initial_000000162	13608000.0	14.696440096783158	5.566183074099719	1.4983395572741234	1.4983395572741234	1.4993395572741233	1.5443395572741232	0.22020163431527234	0.36700272385878724	0.8236427188386022	NaN
Initial_000000165	13608000.0	40.09852923789089	6.598594590147605	1.482630300064132	1.482630300064132	1.4836303000641322	1.5286303000641321	0.31129058948718563	0.7049603440349537	0.5188176491453094	NaN
Initial_000000166	13608000.0	2.677530196024347	1.8344084434163388	1.4878714853633777	1.4878714853633777	1.4888714853633775	1.5338714853633775	0.4275855127891763	0.7126425213152938	0.9678696376477078	NaN
Initial_000000167	13608000.0	40.43263346984157	9.227182261982772	1.4712039353314184	1.4712039353314184	1.4722039353314185	1.5172039353314184	0.3088850390171407	0.8534628378378378	0.5148083983619012	NaN
